id,region,name,majors_in_icis_npdes,non_majors_in_icis_npdes,major_pollutant_loadings,non_major_pollutant_loadings,major_pollutant_loadings_percentage,non_majors_pollutant_loadings,major_pollutants_pounds,non_major_total_pollutants_pounds,major_toxic_weighted_pounds,non_major_toxic_weighted_pounds,date,
13,6,Gulf Of Mexico,,3,,3,,100,,0,,0,1/1/08,
14,4,Gulf Of Mexico East,,5,,0,,0,,,,,1/1/08,
15,9,Hawaii,20,110,18,22,90,20,60595341,25615991,96568,3827,1/1/08,
16,10,Idaho,37,137,36,126,97,92,58471386,2968237,33537,7637,1/1/08,
17,5,Illinois,272,1418,270,1296,99,91,427276543,2257693228,4802417,209296,1/1/08,
18,5,Indiana,197,1388,196,1357,99,98,2123362920,236855934,499997,302981,1/1/08,
19,7,Iowa,139,1274,132,1004,95,79,33961420,43247493,83399,4228,1/1/08,
20,7,Kansas,50,580,46,143,92,25,190230663,6053000,126015,18528,1/1/08,
21,4,Kentucky,139,1550,138,1412,99,91,331354070,689909348,169600,559179,1/1/08,
22,6,Louisiana,242,1196,233,308,96,26,5843332358,12031889,2.19955E+12,17260,1/1/08,
23,1,Maine,76,346,72,227,95,66,88514297,4631666,36575,3571,1/1/08,
24,9,Mariana Islands,2,2,2,1,100,50,333944,344,497,0,1/1/08,
25,3,Maryland,99,553,87,509,88,92,48828131,63298451,2033664,39080,1/1/08,
26,1,Massachusetts,129,161,125,133,97,83,195741001,45156935,211861,2543914,1/1/08,
27,5,Michigan,192,664,187,521,97,78,852031418,459343609,566646,495749,1/1/08,
28,5,Minnesota,101,588,94,253,93,43,144662181,540309,2716593,181,1/1/08,
29,4,Mississippi,87,1230,87,1196,100,97,48133270,85899309,83055,4404827,1/1/08,
30,7,Missouri,177,2851,170,2516,96,88,348796506,1307275871,604991240,18547610,1/1/08,
31,8,Montana,33,171,31,157,94,92,111044692,143298137,15127,21998,1/1/08,
32,7,Nebraska,54,662,54,578,100,87,86972151,3166890207,31838,90056,1/1/08,
33,9,Nevada,14,76,11,7,79,9,667500215,0,77398,0,1/1/08,
34,1,New Hampshire,51,45,50,34,98,76,94995735,509025,31043397,5652,1/1/08,
35,2,New Jersey,69,38,63,35,91,92,0,0,0,0,1/1/08,
36,6,New Mexico,38,108,37,104,97,96,33744379,10287090,5648489,9753,1/1/08,
37,2,New York,332,1286,330,1101,99,86,747005608,166609645,1420632,75651,1/1/08,
38,4,North Carolina,219,978,208,883,95,90,87625911380,171738374,3501394726,308398,1/1/08,
39,8,North Dakota,25,31,25,6,100,19,68343275,21506,17811,14,1/1/08,
40,5,Ohio,289,2866,287,2770,99,97,2640289782,15267200729,2427768,15865039,1/1/08,
41,6,Oklahoma,103,363,103,361,100,99,158386038,280903252,51404,37112,1/1/08,
42,10,Oregon,69,275,65,171,94,62,94343060,46905,225041,518,1/1/08,
43,3,Pennsylvania,400,4456,385,559,96,13,3111936237,78453359,75968349,57500,1/1/08,
44,2,Puerto Rico,87,171,87,166,100,97,2643126224,157575743,1915585,91899,1/1/08,
45,1,Rhode Island,25,83,25,72,100,87,29907995,2369972,78345,11301,1/1/08,
46,4,South Carolina,168,296,163,287,97,97,134262562,5031826,197195,39529,1/1/08,
