id,region,name,majors_in_icis_npdes,non_majors_in_icis_npdes,major_pollutant_loadings,non_major_pollutant_loadings,major_pollutant_loadings_percentage,non_majors_pollutant_loadings,major_pollutants_pounds,non_major_total_pollutants_pounds,major_toxic_weighted_pounds,non_major_toxic_weighted_pounds,date,
10,4,Florida,292,317,189,272,65,86,2667498848,258848325,1035105,41798,1/1/12,
11,4,Georgia,203,651,199,503,98,77,167149737,135131713,391757331,514637,1/1/12,
12,9,Guam,5,13,5,13,100,100,11681070,109936,517,2833,1/1/12,
13,6,Gulf Of Mexico,,3,,2,,67,,0,,0,1/1/12,
14,4,Gulf Of Mexico East,,1,,0,,0,,,,,1/1/12,
15,9,Hawaii,19,123,17,34,89,28,55254400,4445729,104424,956,1/1/12,
16,10,Idaho,39,139,38,122,97,88,81639013,11680594,65516,7234,1/1/12,
17,5,Illinois,273,1345,273,1249,100,93,371759822,3063408968,3795689,268171,1/1/12,
18,5,Indiana,196,1411,195,1284,99,91,2109810157,95345948,1133247,61382,1/1/12,
19,7,Iowa,142,1498,130,1048,92,70,10741164,100575268,15650,3260,1/1/12,
20,7,Kansas,61,1743,58,629,95,36,205579570,56273457,5550964,5208,1/1/12,
21,4,Kentucky,143,1703,141,1606,99,94,320824072,237936424,203709,104820,1/1/12,
22,6,Louisiana,242,1207,235,574,97,48,5280727888,9590952,985769,70270,1/1/12,
23,1,Maine,76,384,72,212,95,55,88760766,5155085,20949,360642,1/1/12,
24,9,Mariana Islands,2,4,2,3,100,75,357185,121191094,232,0,1/1/12,
25,3,Maryland,97,834,83,473,86,57,40934728,54773868,219331,200517,1/1/12,
26,1,Massachusetts,127,128,123,114,97,89,168079680,10027374,368759,26512,1/1/12,
27,5,Michigan,202,498,196,425,97,85,938468827,84368410,491341,57677,1/1/12,
28,5,Minnesota,104,683,99,217,95,32,2335185752,5950192,2141666,22395,1/1/12,
29,4,Mississippi,95,1292,95,1223,100,95,62772263,686152669,69122,28649,1/1/12,
30,7,Missouri,179,3015,175,2569,98,85,296604034,3313678378,619548,19139144,1/1/12,
31,8,Montana,34,167,33,160,97,96,140914358,23163184,15098,2398,1/1/12,
32,7,Nebraska,52,685,52,595,100,87,85066887,1760703417,31570,492845,1/1/12,
33,9,Nevada,14,114,11,77,79,68,629212181,0,8109,0,1/1/12,
34,1,New Hampshire,49,38,48,36,98,95,21297033,357040,528531,835,1/1/12,
35,2,New Jersey,135,87,135,64,100,74,282802828,126493,190646,164,1/1/12,
36,6,New Mexico,37,109,37,105,100,96,30136315,15688780,9198,66144,1/1/12,
37,2,New York,325,1258,323,1078,99,86,1085476542,167328851,1609442,49055,1/1/12,
38,4,North Carolina,228,1278,220,947,96,74,314793242,202209439,463497,205195,1/1/12,
39,8,North Dakota,25,97,25,40,100,41,61376433,0,17535,0,1/1/12,
40,5,Ohio,295,3154,295,3016,100,96,3653342372,9632107295,1331060,857343389,1/1/12,
41,6,Oklahoma,104,398,104,394,100,99,278184706,320670402,57741,6896,1/1/12,
42,10,Oregon,74,301,66,180,89,60,53597739,31099,34067,508,1/1/12,
43,3,Pennsylvania,407,4097,397,780,98,19,2196763000,87332897,18704345,93574,1/1/12,
44,2,Puerto Rico,85,175,85,171,100,98,2476244432,149236958,287965,84310,1/1/12,
45,1,Rhode Island,24,61,24,57,100,93,19060982,8150686,43292,2882,1/1/12,
46,4,South Carolina,171,300,160,290,94,97,77900813,6244806,1247716,63631,1/1/12,
47,8,South Dakota,23,277,23,256,100,92,14003021,18147609,3495,564,1/1/12,
48,4,Tennessee,162,1065,159,586,98,55,1059388355,429323690,855264,360091,1/1/12,
49,6,Texas,723,2218,699,1994,97,90,859122077,8196988682,1155617,667531,1/1/12,
50,8,Utah,41,139,40,92,98,66,484609407,118416658,1170521,59330,1/1/12,
51,1,Vermont,34,154,34,132,100,86,8961731,1591042,12288,2270,1/1/12,
52,2,Virgin Islands,7,60,7,57,100,95,40130253,27395241,1697,268210,1/1/12,
53,3,Virginia,149,903,136,304,91,34,1329390335,765088,72573,1534,1/1/12,
54,10,Washington,77,392,60,246,78,63,58761703,9359271,76025,62729,1/1/12,
55,3,West Virginia,90,1525,89,1385,99,91,1641279838,2385172695,17414644,317052,1/1/12,
56,5,Wisconsin,131,973,130,463,99,48,151344802,184626,49245,1064,1/1/12,
57,8,Wyoming,24,964,24,871,100,90,14761634,10624039657,2218,2395298,1/1/12,
0,4,Alabama,181,1411,181,892,100,63,942100022,796620618,331389,1347707,1/1/13,
1,10,Alaska,42,35,34,24,81,69,85431386,12161110,43516,5964,1/1/13,
2,9,American Samoa,4,2,4,1,100,50,6856551,0,936,0,1/1/13,
3,9,Arizona,82,126,73,114,89,90,4707850723,142443549,227854,2920,1/1/13,
4,6,Arkansas,117,714,116,713,99,100,524158001,46920148,84602,7688,1/1/13,
5,9,California,262,294,237,225,90,77,10612033357,6272007,1009631260,3442,1/1/13,
6,8,Colorado,127,433,120,262,94,61,308800140,104908911,53565,11381,1/1/13,
7,1,Connecticut,93,79,93,76,100,96,37684459,72833429,415533,8904,1/1/13,
8,3,Delaware,18,34,17,30,94,88,103040916,447097,331542,2507,1/1/13,
9,3,District Of Columbia,4,7,4,5,100,71,10135445,18184,49251,31,1/1/13,
10,4,Florida,315,315,186,268,59,85,5142825913,1713536848,1029278,230898,1/1/13,
11,4,Georgia,203,638,200,493,99,77,195502193,10218487,2603396,97575,1/1/13,
12,9,Guam,5,14,5,14,100,100,30877902,9986055,1161,39397,1/1/13,
13,6,Gulf Of Mexico,,2,,1,,50,,0,,0,1/1/13,
14,4,Gulf Of Mexico East,,1,,0,,0,,,,,1/1/13,
15,9,Hawaii,19,280,18,40,95,14,56779595,23527225,94945,1026,1/1/13,
16,10,Idaho,39,139,38,122,97,88,79925453,8373289,129975,5526,1/1/13,
17,5,Illinois,272,1335,271,1235,100,93,372607635,848213212,988566,186897,1/1/13,
18,5,Indiana,197,2126,196,1270,99,60,2430401947,92335152,852921,46670,1/1/13,
19,7,Iowa,142,1515,130,1057,92,70,26894241,45376643,18102,10098,1/1/13,
20,7,Kansas,61,1360,58,668,95,49,186145818,228371847,6337481,684014,1/1/13,
21,4,Kentucky,141,1709,139,1576,99,92,366966294,218066840,3208029,306240,1/1/13,
22,6,Louisiana,240,1209,235,650,98,54,6618650803,24307586,1138178,15312,1/1/13,
23,1,Maine,76,375,72,204,95,54,79813325,3871727,28934,2488,1/1/13,
24,9,Mariana Islands,2,4,2,3,100,75,458247,396,247,0,1/1/13,
25,3,Maryland,96,813,83,464,86,57,43252936,109118022,62861,55296,1/1/13,
26,1,Massachusetts,126,122,122,108,97,89,127711182,1633084493,194316,18895,1/1/13,
27,5,Michigan,202,487,195,415,97,85,981769892,139862416,1.11867E+11,143801,1/1/13,
28,5,Minnesota,103,670,98,211,95,31,866928863,8296929,3831829,109,1/1/13,
29,4,Mississippi,95,1290,95,1214,100,94,59241507,422122912,77621,24923,1/1/13,
30,7,Missouri,180,2979,176,2549,98,86,459866067,5281746017,3258115,36846981,1/1/13,
31,8,Montana,35,166,35,159,100,96,118917596,57467540,13346,4625,1/1/13,
32,7,Nebraska,52,682,52,593,100,87,845367216,1577612585,35061,142679,1/1/13,
33,9,Nevada,14,109,11,87,79,80,635368560,97007,68816,0,1/1/13,
34,1,New Hampshire,49,35,48,34,98,97,76111727,3301878,26670,678,1/1/13,
35,2,New Jersey,134,101,134,71,100,70,278689926,145108,169553,64,1/1/13,
36,6,New Mexico,37,102,37,98,100,96,30989531,19009357,13556,54472,1/1/13,
37,2,New York,324,1255,322,1077,99,86,856641175,153083456,1421800,66404,1/1/13,
38,4,North Carolina,229,1288,220,947,96,74,178420186,247380873,179015,78191,1/1/13,
39,8,North Dakota,25,97,25,53,100,55,98846683,6698529,19421,3020,1/1/13,
40,5,Ohio,295,3142,295,3032,100,96,4538660756,3331645130,905883,190080435,1/1/13,
41,6,Oklahoma,104,392,103,386,99,98,220008289,429367466,46833,77446,1/1/13,
42,10,Oregon,74,303,66,178,89,59,42574572,30375,21490,609,1/1/13,
43,3,Pennsylvania,409,4229,398,1171,97,28,4589703139,491797418,76359307,113714,1/1/13,
44,2,Puerto Rico,84,174,84,167,100,96,3124341625,119595910,350124,23004,1/1/13,
45,1,Rhode Island,24,56,24,53,100,95,25558294,85749194,157021,3474,1/1/13,
46,4,South Carolina,172,299,161,287,94,96,83180686,5555964,326731,92116,1/1/13,
47,8,South Dakota,23,271,23,247,100,91,13334889,20131332,5512,8411,1/1/13,
48,4,Tennessee,164,1031,161,604,98,59,1469401311,307088126,1550368,136078,1/1/13,
49,6,Texas,723,2251,693,1980,96,88,866910041,7500700452,1084622,681215,1/1/13,
50,8,Utah,42,144,40,93,95,65,401815847,47418807,1502150,61497,1/1/13,
51,1,Vermont,34,170,34,132,100,78,14334826,1993451,12769,2496,1/1/13,
52,2,Virgin Islands,7,59,7,56,100,95,42513584,24816233,2673,590852,1/1/13,
53,3,Virginia,150,876,137,430,91,49,563312216,527555,77774,532,1/1/13,
54,10,Washington,77,391,61,245,79,63,376407968,15163803,67790,25306,1/1/13,
55,3,West Virginia,90,1718,89,1523,99,89,11978857879,2067395646,18937499,335670,1/1/13,
56,5,Wisconsin,131,1019,130,488,99,48,162154717,95051,43590,23,1/1/13,
57,8,Wyoming,24,1061,24,961,100,91,13056418,8584893638,14018,538671204,1/1/13,
0,4,Alabama,180,1379,180,867,100,63,1215132858,445162621,812707,952131,1/1/14,
1,10,Alaska,42,35,34,26,81,74,91630301,18450156,38973,33931,1/1/14,
2,9,American Samoa,4,2,4,1,100,50,7661327,0,2163,0,1/1/14,
3,9,Arizona,80,119,71,110,89,92,605808106,27049797,243814,6808,1/1/14,
4,6,Arkansas,115,700,114,699,99,100,503660741,38272466,116066,27327,1/1/14,
5,9,California,257,269,234,206,91,77,2883298029,4703874,4607146614,3206,1/1/14,
6,8,Colorado,126,431,119,264,94,61,478414164,86025263,58124,8606,1/1/14,
7,1,Connecticut,92,77,92,75,100,97,42975706,67601043,911686,6222,1/1/14,
8,3,Delaware,18,34,17,30,94,88,127149277,387283,282190,2347,1/1/14,
9,3,District Of Columbia,4,7,4,5,100,71,12538111,138467,4354,388,1/1/14,
10,4,Florida,319,309,184,266,58,86,4355829064,110669220,1023473,783184,1/1/14,
11,4,Georgia,202,621,199,482,99,78,204511254,13061490,502103,141160,1/1/14,
12,9,Guam,5,14,5,14,100,100,10687018,11892395,34836,224139,1/1/14,
13,6,Gulf Of Mexico,,2,,1,,50,,0,,0,1/1/14,
14,4,Gulf Of Mexico East,,1,,0,,0,,,,,1/1/14,
15,9,Hawaii,19,358,18,48,95,13,61565877,324749866,83528,12654,1/1/14,
16,10,Idaho,39,137,38,119,97,87,79922911,7594027,10313,3945,1/1/14,
17,5,Illinois,272,1291,271,1203,100,93,451472003,438646040,1068690,15581823,1/1/14,
18,5,Indiana,198,4111,197,1238,99,30,1667587300,122299690,785051,343221,1/1/14,
19,7,Iowa,143,1510,132,1108,92,73,41598029,25225581,33785,3342,1/1/14,
20,7,Kansas,62,1315,60,677,97,51,186523352,142571320,5642790,437023,1/1/14,
21,4,Kentucky,141,1692,139,1574,99,93,339242487,293214638,694630,98808,1/1/14,
22,6,Louisiana,239,1189,234,743,98,62,6137404317,11877721,1072166,19858,1/1/14,
23,1,Maine,76,366,72,194,95,53,82142075,2156248,47154,2913,1/1/14,
24,9,Mariana Islands,2,4,2,3,100,75,425620,320,123,0,1/1/14,
25,3,Maryland,96,798,83,450,86,56,75967217,58628198,3303423,22651,1/1/14,
26,1,Massachusetts,125,120,121,107,97,89,130275415,1504359177,309236,135108,1/1/14,
27,5,Michigan,202,490,195,419,97,86,953346605,174672409,3974043,559521,1/1/14,
28,5,Minnesota,102,662,98,207,96,31,1009060061,8908653,1964381,182,1/1/14,
29,4,Mississippi,95,1268,95,1191,100,94,70165377,289102816,84532,33055,1/1/14,
30,7,Missouri,180,2911,177,2537,98,87,285318615,7109784043,1262572,40296329,1/1/14,
31,8,Montana,35,165,35,156,100,95,145624836,33881363,11504,60458,1/1/14,
32,7,Nebraska,51,666,51,587,100,88,154955555,3131972250,62980972,755926,1/1/14,
33,9,Nevada,14,109,11,91,79,83,565196014,6216955,220966,4368,1/1/14,
34,1,New Hampshire,49,35,48,34,98,97,104185115,588683,23224,3008,1/1/14,
35,2,New Jersey,132,128,132,89,100,70,288230414,139985,184266,81,1/1/14,
36,6,New Mexico,37,103,37,101,100,98,26654309,9497452,12999,54134,1/1/14,
37,2,New York,322,1257,319,1071,99,85,725137606,304094960,1454233,138229,1/1/14,
38,4,North Carolina,227,1264,219,948,96,75,170396583,363284455,126427,36758,1/1/14,
39,8,North Dakota,25,99,25,63,100,64,78994776,4634953,354182,3305,1/1/14,
40,5,Ohio,295,3133,293,3034,99,97,4850184208,2730900669,444838,180458116,1/1/14,
41,6,Oklahoma,104,388,103,384,99,99,189955206,348229626,40233,17274,1/1/14,
42,10,Oregon,74,297,66,181,89,61,56225409,28937,24862,694,1/1/14,
43,3,Pennsylvania,408,4379,398,1579,98,36,2867702434,90573051,82039025,57084,1/1/14,
44,2,Puerto Rico,84,168,84,161,100,96,1645822040,3449347125,239851,54277,1/1/14,
45,1,Rhode Island,24,56,24,51,100,91,18746273,15600123,48426,3709,1/1/14,
46,4,South Carolina,169,285,158,274,93,96,87838449,5845262,105490,5709,1/1/14,
47,8,South Dakota,24,267,24,240,100,90,13358570,21110880,3957,842,1/1/14,
48,4,Tennessee,165,1025,162,630,98,61,1382004435,110388235,606737,55849,1/1/14,
49,6,Texas,730,2298,693,1957,95,85,1593203880,2406963029,1185997,1017914,1/1/14,
50,8,Utah,43,143,41,93,95,65,356593150,235699916,1473147,78414,1/1/14,
51,1,Vermont,34,176,34,133,100,76,13634560,1146701,12730,2473,1/1/14,
52,2,Virgin Islands,7,61,7,56,100,92,41101071,37481379,2453,440423,1/1/14,
53,3,Virginia,149,872,136,556,91,64,773159836,259346,106631,538,1/1/14,
54,10,Washington,77,387,64,245,83,63,72662139,7755308,68643,21283,1/1/14,
55,3,West Virginia,91,1821,89,1615,98,89,2539261024,739087303,648719,6262870,1/1/14,
56,5,Wisconsin,131,1055,130,518,99,49,169019307,214840,44545,16,1/1/14,
57,8,Wyoming,24,968,24,896,100,93,14347563,4603235626,2730,1660492328,1/1/14,
0,4,Alabama,180,1342,180,937,100,70,1662296485,652625685,623871,772875,1/1/15,
1,10,Alaska,42,37,34,27,81,73,81531098,11541347,48055,18615,1/1/15,
2,9,American Samoa,4,2,4,1,100,50,12710223,1059046,1158,71,1/1/15,
3,9,Arizona,78,111,69,103,88,93,713228228,143156870,260022,14257,1/1/15,
4,6,Arkansas,112,696,112,694,100,100,547284816,40188869,173929,83669,1/1/15,
5,9,California,253,252,231,211,91,84,3062498973,592536,36800094,162,1/1/15,
6,8,Colorado,126,451,120,270,95,60,468226594,257709004,46677,5519,1/1/15,
7,1,Connecticut,91,75,91,73,100,97,35807760,79256315,770804,6551,1/1/15,
8,3,Delaware,18,33,17,29,94,88,76564593,453026,288634,2519,1/1/15,
9,3,District Of Columbia,4,6,4,4,100,67,8810019,23834,2779,17688,1/1/15,
10,4,Florida,312,297,177,257,57,87,4051840184,124674920,1737525,1060975,1/1/15,
11,4,Georgia,206,616,200,478,97,78,198341422,6491865,265983,12799,1/1/15,
12,9,Guam,5,14,5,14,100,100,4773472,5295565,580,6070,1/1/15,
13,6,Gulf Of Mexico,,2,,1,,50,,0,,0,1/1/15,
14,4,Gulf Of Mexico East,,1,,0,,0,,,,,1/1/15,
15,9,Hawaii,19,352,18,45,95,13,67848806,15782845,76687,69841,1/1/15,
16,10,Idaho,39,135,38,117,97,87,80737894,7282418,7748,3772,1/1/15,
17,5,Illinois,271,1290,271,1213,100,94,767085961,305699885,3756094,99225,1/1/15,
18,5,Indiana,198,6087,197,1211,99,20,1710493372,91319170,672728,110602,1/1/15,
19,7,Iowa,141,1516,134,1150,95,76,25564035,115645560,37404,12229,1/1/15,
20,7,Kansas,62,1312,60,672,97,51,189023320,76006904,7588607,843677,1/1/15,
21,4,Kentucky,140,1645,138,1574,99,96,578013262,293911935,285111876,330090,1/1/15,
22,6,Louisiana,237,1157,233,831,98,72,6314589865,146171327,998855,19460,1/1/15,
23,1,Maine,75,343,71,187,95,55,135600747,2130535,18801,2599,1/1/15,
24,9,Mariana Islands,2,4,2,3,100,75,516207,511,224,0,1/1/15,
25,3,Maryland,96,530,83,431,86,81,81362734,55553769,101650,705175,1/1/15,
26,1,Massachusetts,123,119,119,107,97,90,131748503,90515744,2082840,7834,1/1/15,
27,5,Michigan,203,481,196,412,97,86,931062400,683544746,2.0128E+11,274321,1/1/15,
28,5,Minnesota,102,652,98,207,96,32,1811954615,8505923,1747355,477,1/1/15,
29,4,Mississippi,95,1235,95,1160,100,94,47522344,271952458,43706,64890,1/1/15,
30,7,Missouri,181,2837,179,2500,99,88,354660260,6857965418,2485477,33407280,1/1/15,
31,8,Montana,35,164,35,155,100,95,138917148,19804852,18668,7528,1/1/15,
32,7,Nebraska,51,655,50,582,98,89,644417896,25741651269,10756958,988543,1/1/15,
33,9,Nevada,14,112,11,86,79,77,559895207,116990688,6097,8403,1/1/15,
34,1,New Hampshire,49,34,47,33,96,97,240680384,276154,22375,647,1/1/15,
35,2,New Jersey,133,156,133,88,100,56,251277286,112426,165806,189,1/1/15,
36,6,New Mexico,37,99,37,96,100,97,21474539,8998947,702756,62018,1/1/15,
37,2,New York,321,1262,317,1069,99,85,681488883,326415830,1452850,2007650,1/1/15,
38,4,North Carolina,227,1261,219,947,96,75,142029503,557496273,73489,38392,1/1/15,
39,8,North Dakota,24,90,24,71,100,79,61241490,5913919,102343,641,1/1/15,
40,5,Ohio,294,3140,293,3049,100,97,4863069535,1520522374,365086,609050,1/1/15,
41,6,Oklahoma,105,383,104,381,99,99,181232612,586456866,72661,12144,1/1/15,
42,10,Oregon,74,290,66,177,89,61,49051563,30594,31968,475,1/1/15,
43,3,Pennsylvania,409,4540,400,1927,98,42,3323641324,73619781,51866657578,45404,1/1/15,
44,2,Puerto Rico,83,166,82,158,99,95,721202729,60564930,206143,41983,1/1/15,
45,1,Rhode Island,24,57,24,53,100,93,15055569,35797868,24082,4495,1/1/15,
46,4,South Carolina,169,262,162,243,96,93,84669914,16257805,570171,28336,1/1/15,
47,8,South Dakota,23,259,23,233,100,90,20955916,19728588,3754,599,1/1/15,
48,4,Tennessee,162,1009,159,683,98,68,1801343701,141972598,535897,39324223,1/1/15,
49,6,Texas,735,2376,692,1983,94,83,4730965074,4235347229,1229168,927844,1/1/15,
50,8,Utah,43,140,41,91,95,65,391463386,206385892,845043,62410,1/1/15,
51,1,Vermont,34,196,34,133,100,68,44733012,1051942,14652,2189,1/1/15,
52,2,Virgin Islands,7,61,7,54,100,89,897700663,74206390,961,15137,1/1/15,
53,3,Virginia,149,867,136,691,91,80,464457828,87765426,86471,4432,1/1/15,
54,10,Washington,76,378,65,244,86,65,79061045,9760591,74350,17585,1/1/15,
55,3,West Virginia,91,1910,89,1677,98,88,1072890441,1353132260,472047,453156,1/1/15,
56,5,Wisconsin,129,1084,128,541,99,50,152688350,216180,65844,2747,1/1/15,
57,8,Wyoming,24,912,24,851,100,93,31582485,2873922013,2910,1005945995,1/1/15,
0,4,Alabama,178,1280,177,1165,99,91,2815235543,918542510,1557428,2356059,1/1/16,
1,10,Alaska,42,43,34,29,81,67,82425415,2641417,43462,4670,1/1/16,
2,9,American Samoa,4,2,4,1,100,50,27566103,1710876,1334,208,1/1/16,
3,9,Arizona,76,110,67,101,88,92,818977099,182168805,377964,32646,1/1/16,
4,6,Arkansas,113,681,113,678,100,100,407370448,81400160,149793,13246,1/1/16,
5,9,California,252,243,232,211,92,87,2758369700,38676269,642189433,7387,1/1/16,
6,8,Colorado,127,441,121,276,95,63,400061349,264537727,61792,18938,1/1/16,
7,1,Connecticut,91,68,91,66,100,97,31319300,75297148,814781,4800,1/1/16,
8,3,Delaware,18,33,17,29,94,88,6942571,320733,286313,620,1/1/16,
9,3,District Of Columbia,4,6,4,4,100,67,8218820,41022,126486,29,1/1/16,
10,4,Florida,382,289,175,250,46,87,2498095322,134308521,2397433,192129,1/1/16,
11,4,Georgia,206,590,201,468,98,79,233760794,13757100,289380,24472,1/1/16,
12,9,Guam,5,14,5,13,100,93,5094986,9002953,2108,10288,1/1/16,
13,6,Gulf Of Mexico,,1,,0,,0,,,,,1/1/16,
14,9,Hawaii,19,359,18,47,95,13,283124781,144906766,31962,67442,1/1/16,
15,10,Idaho,39,135,38,117,97,87,84833404,11152059,83381,7694,1/1/16,
16,5,Illinois,270,1286,270,1210,100,94,1026361071,241638130,2841055,55466,1/1/16,
17,5,Indiana,198,8125,197,1185,99,15,1689825635,80824306,774656,33337,1/1/16,
18,7,Iowa,141,1503,140,1188,99,79,62220452,51375398,58594,940916,1/1/16,
19,7,Kansas,65,1321,61,680,94,51,173807473,98809760,2126910,9681,1/1/16,
20,4,Kentucky,139,1577,137,1520,99,96,333589225,400785000,622228,178631,1/1/16,
21,6,Louisiana,238,1115,236,931,99,83,8099681140,386808025,631150,1862215,1/1/16,
22,1,Maine,75,340,70,189,93,56,78845693,1711147,16409,84589,1/1/16,
23,9,Mariana Islands,2,4,2,3,100,75,551044,634,124,1,1/1/16,
24,3,Maryland,95,455,82,403,86,89,151929721,114739320,265248,35980,1/1/16,
25,1,Massachusetts,123,117,119,105,97,90,2525043192,70266246,210788,24891,1/1/16,
26,5,Michigan,203,439,193,351,95,80,940601997,1767030063,85800566,235461,1/1/16,
27,5,Minnesota,102,649,99,205,97,32,2117938269,8335021,268093,262,1/1/16,
28,4,Mississippi,92,1196,92,1125,100,94,45747018,252821212,35786,24198,1/1/16,
29,7,Missouri,180,2798,178,2532,99,90,348841943,4576117279,1362138,20285595,1/1/16,
30,8,Montana,34,165,34,154,100,93,97379962,42926440,10950,4296,1/1/16,
31,7,Nebraska,51,648,50,575,98,89,320314823,13923227535,31826,3176249,1/1/16,
32,9,Nevada,14,103,11,84,79,82,536576252,97295852,599056,12007,1/1/16,
33,1,New Hampshire,48,35,47,34,98,97,207084979,556008,16952,625,1/1/16,
34,2,New Jersey,133,282,132,233,99,83,288017155,7325565,152667,3568,1/1/16,
35,6,New Mexico,36,95,36,92,100,97,161160741,10568346,381553,61420,1/1/16,
36,2,New York,320,1270,316,1064,99,84,654277263,200113499,1955082,30587,1/1/16,
37,4,North Carolina,227,1246,219,934,96,75,144038158,3779349973,95460,136044,1/1/16,
38,8,North Dakota,24,85,24,77,100,91,111203448,25088937,812165,534,1/1/16,
39,5,Ohio,294,3143,293,3045,100,97,4902642770,991586439,358601,137129,1/1/16,
40,6,Oklahoma,105,371,104,368,99,99,184183956,1201538692,35237,19692,1/1/16,
41,10,Oregon,74,286,66,169,89,59,43130593,41511,28422,500,1/1/16,
42,3,Pennsylvania,406,4798,397,2284,98,48,1954458246,660290038,58291807044,485762,1/1/16,
43,2,Puerto Rico,81,167,81,158,100,95,352728088,24719288,1119928,123882,1/1/16,
44,1,Rhode Island,23,56,23,51,100,91,12138585,4545635,12355,2327,1/1/16,
45,4,South Carolina,168,244,159,225,95,92,77460251,5776876,110155,256320,1/1/16,
46,8,South Dakota,23,256,23,228,100,89,17408868,32832930,3919,1160,1/1/16,
47,4,Tennessee,162,1005,161,734,99,73,1403129102,100074109,483911,42294,1/1/16,
48,6,Texas,734,2427,690,1995,94,82,19396163551,3438967873,1224357,1229227,1/1/16,
49,8,Utah,43,136,41,86,95,63,429561026,212604481,454658,5715,1/1/16,
50,1,Vermont,34,209,34,134,100,64,10519594,1298582,11376,2454,1/1/16,
51,2,Virgin Islands,7,62,7,54,100,87,15844015,146865310,2460,948,1/1/16,
52,3,Virginia,149,911,136,846,91,93,353530371,104028501,100690,6242,1/1/16,
53,10,Washington,76,373,66,239,87,64,18314545,9879939,11459,2888,1/1/16,
54,3,West Virginia,91,1966,89,1710,98,87,1112592771,1436313188,746279,1049864,1/1/16,
55,5,Wisconsin,129,1121,128,560,99,50,158712527,138342,86640,9,1/1/16,
56,8,Wyoming,24,887,24,831,100,94,23479486,27300294864,2993,2327002657,1/1/16,
0,4,Alabama,177,1266,175,1137,99,90,1629320929,850892668,593720,14518771,1/1/17,
1,10,Alaska,41,44,33,32,80,73,76080225,2263243,36068,1121,1/1/17,
2,9,American Samoa,4,2,4,1,100,50,15326092,25699,1093,1,1/1/17,
3,9,Arizona,75,107,67,100,89,93,719624774,30136816,79268,1326,1/1/17,
4,6,Arkansas,114,683,114,680,100,100,431413970,38051615,128773,9272,1/1/17,
5,9,California,246,239,230,211,93,88,2934363299,263292799,56357587,550903,1/1/17,
6,8,Colorado,127,443,120,279,94,63,405754200,345347042,74338,6186,1/1/17,
7,1,Connecticut,89,66,89,64,100,97,148896340,58362256,746649,2352,1/1/17,
8,3,Delaware,18,33,17,29,94,88,7350022,1577852,328202,917,1/1/17,
9,3,District Of Columbia,4,6,4,4,100,67,8663069,118265,4010,113,1/1/17,
10,4,Florida,408,280,173,243,42,87,3670067336,187890811,493679,230300,1/1/17,
11,4,Georgia,208,591,201,485,97,82,200759978,12657581,154217,7282,1/1/17,
12,9,Guam,5,14,5,13,100,93,4703819,6919762,131519,9395,1/1/17,
13,6,Gulf Of Mexico,,1,,0,,0,,,,,1/1/17,
14,9,Hawaii,18,356,17,44,94,12,9823193,5604600,40643,4933,1/1/17,
15,10,Idaho,39,128,38,111,97,87,96887063,15643099,16931,4403,1/1/17,
16,5,Illinois,270,1282,270,1201,100,94,749287326,228696909,1696564,97957,1/1/17,
17,5,Indiana,197,10016,197,1167,100,12,1986082004,122110210,1760823,57869,1/1/17,
18,7,Iowa,141,1501,140,1181,99,79,93496523,172366275,51355,17320,1/1/17,
19,7,Kansas,64,1323,62,685,97,52,175669114,57078376,51869,4492,1/1/17,
20,4,Kentucky,139,1496,137,1456,99,97,398293889,275130134,1280131,116279,1/1/17,
21,6,Louisiana,240,1086,239,983,100,91,6442137802,432520641,5750254,1774248,1/1/17,
22,1,Maine,74,333,70,189,95,57,87301061,1392521,15908,3373,1/1/17,
23,9,Mariana Islands,2,4,2,2,100,50,699283,286,109,0,1/1/17,
24,3,Maryland,94,427,81,378,86,89,55030245,103478671,48139,21606,1/1/17,
25,1,Massachusetts,123,109,119,101,97,93,19574824971,3892800,19625566,8734,1/1/17,
26,5,Michigan,203,438,193,350,95,80,1033469331,659135736,412886,185716,1/1/17,
27,5,Minnesota,102,641,99,205,97,32,2071954680,5169263,202203,392,1/1/17,
28,4,Mississippi,92,1185,92,1115,100,94,45356727,149413401,37932,4521720,1/1/17,
29,7,Missouri,181,2731,180,2401,99,88,2363300022,8346049469,1130591,16145372,1/1/17,
30,8,Montana,34,162,34,151,100,93,94512673,22061929,14435,3111,1/1/17,
31,7,Nebraska,51,643,50,571,98,89,338916322,4403423933,1100138,170356,1/1/17,
32,9,Nevada,14,97,10,81,71,84,541541694,159169720,164099,12301,1/1/17,
33,1,New Hampshire,48,32,47,32,98,100,270225925,637580,31196,525,1/1/17,
34,2,New Jersey,133,337,132,306,99,91,326220204,19827061,180238,2548,1/1/17,
35,6,New Mexico,34,92,34,90,100,98,36429531,9295872,54975367,8486742,1/1/17,
36,2,New York,321,1276,316,1066,98,84,1029670561,257588216,2121462,110701,1/1/17,
37,4,North Carolina,227,1231,217,918,96,75,118290259,4275504615,37821,426119,1/1/17,
38,8,North Dakota,24,81,24,78,100,96,65454350,43777169,214294,3650831,1/1/17,
39,5,Ohio,293,3137,290,3043,99,97,4701511387,2025069984,273962,102828,1/1/17,
40,6,Oklahoma,105,368,103,366,98,99,359980179,1144469698,205532,31239,1/1/17,
